date,amount,type,counterparty,note
2024-05-04,3260000,outflow,武汉市物流运输有限公司,运营费用
2024-05-05,1430000,inflow,武汉市线上订单结算,月末结款
2024-05-07,8600000,inflow,武汉市快递总部结算,货款回款
2024-05-08,2900000,outflow,武汉市外协加工,工资发放
2024-05-09,2660000,inflow,武汉市线上订单结算,订单回款
2024-05-17,6200000,inflow,武汉市货主集团结算,工程款回款
2024-05-18,4700,fee,银行手续费,税费
2024-05-26,4700000,outflow,武汉市包装制品,税费缴纳
2024-05-28,6200000,inflow,武汉市电商物流平台,结算款
2024-05-29,9700,fee,武汉市物业服务,手续费
2024-05-30,6800000,outflow,武汉市差旅报销,供应商货款
2024-06-01,2600000,inflow,武汉市电商物流平台,销售回款
2024-06-04,3310000,outflow,武汉市公路运输原料供应,原料采购付款
2024-06-06,2760000,inflow,武汉市快递总部结算,合同结款
2024-06-08,8200,fee,武汉市社保中心,公共事业
2024-06-12,2470000,inflow,武汉市电商物流平台,订单回款
2024-06-13,2570000,outflow,武汉市自来水公司,出口押汇偿还
2024-06-14,11600,fee,武汉市自来水公司,税费
2024-06-16,2080000,inflow,武汉市货主集团结算,月末结款
2024-06-17,2210000,inflow,武汉市货主集团结算,结算款
2024-06-18,4190000,outflow,武汉市外协加工,供应商货款
2024-06-19,8900000,inflow,武汉市快递总部结算,货款回款
2024-06-20,5100000,outflow,武汉市物流运输有限公司,供应商货款
2024-06-25,4300000,outflow,武汉市差旅报销,出口押汇偿还
2024-06-29,3350000,inflow,武汉市货主集团结算,项目回款
2024-07-01,1150000,inflow,武汉市电商物流平台,货款回款
2024-07-03,1290000,inflow,武汉市快递总部结算,项目回款
2024-07-05,1900000,inflow,武汉市货主集团结算,销售回款
2024-07-06,1990000,inflow,武汉市电商物流平台,项目回款
2024-07-10,2530000,outflow,武汉市包装制品,运营费用
2024-07-13,11600,fee,武汉市物业服务,工本费
2024-07-14,1900000,inflow,武汉市电商物流平台,工程款回款
2024-07-15,1870000,outflow,武汉市自来水公司,供应商货款
2024-07-16,1960000,inflow,武汉市货主集团结算,订单回款
2024-07-18,1480000,outflow,武汉市包装制品,运营费用
2024-07-20,1550000,inflow,武汉市电商物流平台,合同结款
2024-07-21,8400000,inflow,武汉市零售客户结算,货款回款
2024-07-24,2920000,outflow,武汉市设备维保,运营费用
2024-07-25,1730000,outflow,武汉市公路运输原料供应,税费缴纳
2024-07-26,1920000,outflow,武汉市物流运输有限公司,出口押汇偿还
2024-07-27,1320000,inflow,武汉市电商物流平台,合同结款
2024-07-31,1390000,outflow,武汉市公路运输原料供应,供应商货款
2024-08-03,6200,fee,武汉市物业服务,工本费
2024-08-05,4050000,inflow,武汉市电商物流平台,订单回款
2024-08-07,5400000,outflow,武汉市物流运输有限公司,税费缴纳
2024-08-09,2910000,inflow,武汉市快递总部结算,工程款回款
2024-08-12,2380000,inflow,武汉市货主集团结算,月末结款
2024-08-14,6600000,outflow,武汉市差旅报销,税费缴纳
2024-08-15,5400000,outflow,武汉市物流运输有限公司,税费缴纳
2024-08-17,2280000,inflow,武汉市快递总部结算,合同结款
2024-08-19,3200000,inflow,武汉市快递总部结算,销售回款
2024-08-20,3940000,outflow,武汉市自来水公司,供应商货款
2024-08-23,3870000,inflow,武汉市电商物流平台,订单回款
2024-08-30,3380000,inflow,武汉市货主集团结算,结算款
2024-09-01,3500000,inflow,武汉市货主集团结算,订单回款
2024-09-02,12700,fee,银行手续费,手续费
2024-09-05,3400000,outflow,武汉市差旅报销,房租水电
2024-09-11,2010000,outflow,武汉市外协加工,外协加工
2024-09-12,1020000,inflow,武汉市电商物流平台,货款回款
2024-09-14,4720000,inflow,武汉市货主集团结算,订单回款
2024-09-17,3380000,outflow,武汉市外协加工,设备采购付款
2024-09-19,3940000,inflow,武汉市快递总部结算,合同结款
2024-09-21,3970000,outflow,武汉市物流运输有限公司,原料采购付款
2024-09-23,4930000,inflow,武汉市电商物流平台,合同结款
2024-09-25,3030000,inflow,武汉市货主集团结算,合同结款
2024-09-27,3560000,outflow,武汉市物流运输有限公司,房租水电
2024-09-29,3780000,outflow,武汉市包装制品,物流运费
2024-10-04,2720000,outflow,武汉市公路运输原料供应,原料采购付款
2024-10-05,2380000,inflow,武汉市电商物流平台,项目回款
2024-10-06,3230000,inflow,武汉市快递总部结算,合同结款
2024-10-07,2680000,inflow,武汉市货主集团结算,合同结款
2024-10-08,3440000,inflow,武汉市电商物流平台,货款回款
2024-10-11,2430000,outflow,武汉市外协加工,物流运费
2024-10-12,2490000,outflow,武汉市包装制品,房租水电
2024-10-13,2870000,outflow,武汉市自来水公司,物流运费
2024-10-16,2980000,inflow,武汉市电商物流平台,工程款回款
2024-10-17,2430000,inflow,武汉市货主集团结算,订单回款
2024-10-22,2810000,inflow,武汉市零售客户结算,月末结款
2024-10-23,4010000,outflow,武汉市差旅报销,物流运费
2024-10-25,2710000,outflow,武汉市包装制品,出口押汇偿还
2024-10-30,7200,fee,武汉市社保中心,公共事业
2024-11-04,1920000,outflow,武汉市设备维保,原料采购付款
2024-11-08,3730000,outflow,武汉市自来水公司,外协加工
2024-11-10,2830000,outflow,武汉市差旅报销,原料采购付款
2024-11-13,7000000,inflow,武汉市货主集团结算,订单回款
2024-11-15,2300,fee,银行手续费,工本费
2024-11-16,2580000,outflow,武汉市公路运输原料供应,税费缴纳
2024-11-17,5700000,inflow,武汉市电商物流平台,合同结款
2024-11-18,4690000,outflow,武汉市外协加工,外协加工
2024-11-20,3750000,outflow,武汉市设备维保,原料采购付款
2024-11-22,4450000,inflow,武汉市快递总部结算,结算款
2024-11-23,3520000,outflow,武汉市差旅报销,税费缴纳
2024-11-29,4640000,inflow,武汉市货主集团结算,月末结款
2024-11-30,5000000,inflow,武汉市线上订单结算,项目回款
2024-12-02,3270000,inflow,武汉市电商物流平台,结算款
2024-12-07,2490000,inflow,武汉市货主集团结算,工程款回款
2024-12-11,2580000,inflow,武汉市货主集团结算,项目回款
2024-12-13,7400000,inflow,武汉市快递总部结算,合同结款
2024-12-14,6400000,outflow,武汉市设备维保,外协加工
2024-12-15,5300000,outflow,武汉市差旅报销,出口押汇偿还
2024-12-16,6200000,outflow,武汉市设备维保,原料采购付款
2024-12-17,3730000,inflow,武汉市电商物流平台,月末结款
2024-12-18,4250000,outflow,武汉市自来水公司,供应商货款
2024-12-21,3050000,inflow,武汉市电商物流平台,货款回款
2024-12-24,2950000,inflow,武汉市快递总部结算,项目回款
2025-01-02,2410000,outflow,武汉市差旅报销,房租水电
2025-01-04,2340000,outflow,武汉市包装制品,工资发放
2025-01-08,3370000,inflow,武汉市电商物流平台,项目回款
2025-01-13,1670000,inflow,武汉市货主集团结算,销售回款
2025-01-14,1810000,inflow,武汉市快递总部结算,货款回款
2025-01-17,2130000,inflow,武汉市电商物流平台,货款回款
2025-01-18,1430000,inflow,武汉市货主集团结算,工程款回款
2025-01-21,2200000,inflow,武汉市货主集团结算,结算款
2025-01-22,1860000,outflow,武汉市公路运输原料供应,运营费用
2025-01-24,2510000,inflow,武汉市货主集团结算,订单回款
2025-01-28,2680000,outflow,武汉市公路运输原料供应,税费缴纳
2025-01-30,2770000,outflow,武汉市差旅报销,运营费用
2025-01-31,2080000,outflow,武汉市物流运输有限公司,外协加工
2025-02-03,2940000,inflow,武汉市货主集团结算,项目回款
2025-02-04,2800000,inflow,武汉市货主集团结算,合同结款
2025-02-07,4480000,outflow,武汉市公路运输原料供应,供应商货款
2025-02-10,8900,fee,银行手续费,手续费
2025-02-11,4210000,outflow,武汉市设备维保,工资发放
2025-02-12,2230000,inflow,武汉市货主集团结算,合同结款
2025-02-13,3620000,outflow,武汉市外协加工,工资发放
2025-02-15,3260000,inflow,武汉市货主集团结算,月末结款
2025-02-16,2940000,inflow,武汉市货主集团结算,结算款
2025-02-18,2750000,inflow,武汉市电商物流平台,月末结款
2025-02-21,3750000,outflow,武汉市差旅报销,原料采购付款
2025-03-02,4850000,outflow,武汉市差旅报销,设备采购付款
2025-03-08,3550000,inflow,武汉市货主集团结算,订单回款
2025-03-11,9600,fee,武汉市电力公司,工本费
2025-03-12,2980000,inflow,武汉市快递总部结算,月末结款
2025-03-13,3560000,inflow,武汉市电商物流平台,合同结款
2025-03-14,2100000,inflow,武汉市货主集团结算,项目回款
2025-03-15,3230000,inflow,武汉市电商物流平台,合同结款
2025-03-17,3330000,inflow,武汉市货主集团结算,项目回款
2025-03-19,5200000,outflow,武汉市外协加工,税费缴纳
2025-03-21,1860000,inflow,武汉市零售客户结算,项目回款
2025-03-22,1750000,inflow,武汉市电商物流平台,结算款
2025-03-23,2640000,inflow,武汉市快递总部结算,项目回款
2025-03-26,4110000,outflow,武汉市公路运输原料供应,工资发放
2025-03-29,4170000,outflow,武汉市物流运输有限公司,原料采购付款
2025-03-31,3280000,outflow,武汉市外协加工,运营费用
2025-04-01,1370000,outflow,武汉市设备维保,供应商货款
2025-04-02,3610000,outflow,武汉市设备维保,出口押汇偿还
2025-04-03,1500,fee,武汉市社保中心,税费
2025-04-05,3600000,outflow,武汉市物流运输有限公司,物流运费
2025-04-09,2380000,inflow,武汉市货主集团结算,销售回款
2025-04-11,2180000,inflow,武汉市货主集团结算,合同结款
2025-04-12,1520000,outflow,武汉市外协加工,外协加工
2025-04-14,2100000,inflow,武汉市货主集团结算,工程款回款
2025-04-15,1400,fee,武汉市自来水公司,税费
2025-04-17,2720000,inflow,武汉市快递总部结算,结算款
2025-04-18,2800000,inflow,武汉市电商物流平台,合同结款
2025-04-19,3060000,inflow,武汉市货主集团结算,月末结款
2025-04-21,2070000,inflow,武汉市货主集团结算,合同结款
2025-04-22,2490000,inflow,武汉市小额客户回款,结算款
2025-04-25,3050000,outflow,武汉市包装制品,房租水电
2025-04-26,3930000,outflow,武汉市设备维保,税费缴纳
2025-04-27,2350000,inflow,武汉市快递总部结算,结算款
2025-05-01,1710000,inflow,武汉市电商物流平台,工程款回款
2025-05-04,9800,fee,工商登记费,工本费
2025-05-05,3920000,outflow,武汉市公路运输原料供应,运营费用
2025-05-10,2460000,outflow,武汉市外协加工,出口押汇偿还
2025-05-12,3900000,inflow,武汉市快递总部结算,工程款回款
2025-05-16,3450000,outflow,武汉市公路运输原料供应,工资发放
2025-05-17,3370000,outflow,武汉市公路运输原料供应,供应商货款
2025-05-21,4120000,inflow,武汉市货主集团结算,货款回款
2025-05-22,3870000,inflow,武汉市快递总部结算,销售回款
2025-05-23,1750000,inflow,武汉市快递总部结算,订单回款
2025-05-24,2510000,inflow,武汉市快递总部结算,订单回款
2025-05-26,2710000,inflow,武汉市快递总部结算,月末结款
2025-05-28,3580000,inflow,武汉市快递总部结算,工程款回款
2025-05-30,2630000,outflow,武汉市外协加工,供应商货款
2025-05-31,1990000,outflow,武汉市差旅报销,供应商货款
2025-06-02,2310000,inflow,武汉市货主集团结算,订单回款
2025-06-08,3480000,inflow,武汉市线上订单结算,销售回款
2025-06-10,5500000,outflow,武汉市公路运输原料供应,原料采购付款
2025-06-11,2390000,inflow,武汉市电商物流平台,月末结款
2025-06-18,2970000,outflow,武汉市公路运输原料供应,供应商货款
2025-06-19,2540000,inflow,武汉市货主集团结算,工程款回款
2025-06-20,2860000,inflow,武汉市电商物流平台,工程款回款
2025-06-21,6100000,outflow,武汉市差旅报销,房租水电
2025-06-24,3430000,inflow,武汉市快递总部结算,订单回款
2025-06-27,2980000,outflow,武汉市自来水公司,供应商货款
2025-07-03,3090000,outflow,武汉市设备维保,供应商货款
2025-07-05,2570000,inflow,武汉市电商物流平台,项目回款
2025-07-06,2430000,outflow,武汉市公路运输原料供应,房租水电
2025-07-07,2700000,outflow,武汉市差旅报销,工资发放
2025-07-08,3580000,inflow,武汉市快递总部结算,货款回款
2025-07-09,2600000,inflow,武汉市货主集团结算,销售回款
2025-07-10,3550000,outflow,武汉市差旅报销,供应商货款
2025-07-14,3600,fee,武汉市物业服务,税费
2025-07-15,7200,fee,工商登记费,手续费
2025-07-16,3400000,inflow,武汉市电商物流平台,货款回款
2025-07-19,3340000,inflow,武汉市货主集团结算,货款回款
2025-07-23,1460000,outflow,武汉市差旅报销,供应商货款
2025-07-24,1980000,inflow,武汉市货主集团结算,项目回款
2025-07-28,3370000,outflow,武汉市外协加工,供应商货款
2025-07-31,2420000,inflow,武汉市电商物流平台,结算款
2025-08-07,2560000,inflow,武汉市货主集团结算,结算款
2025-08-08,2080000,outflow,武汉市设备维保,物流运费
2025-08-09,2010000,inflow,武汉市电商物流平台,订单回款
2025-08-11,3660000,inflow,武汉市小额客户回款,项目回款
2025-08-12,3280000,outflow,武汉市公路运输原料供应,原料采购付款
2025-08-14,2320000,outflow,武汉市包装制品,运营费用
2025-08-16,6600,fee,武汉市电力公司,手续费
2025-08-19,13600,fee,银行手续费,工本费
2025-08-20,2510000,inflow,武汉市货主集团结算,结算款
2025-08-21,2270000,inflow,武汉市快递总部结算,结算款
2025-08-24,2570000,inflow,武汉市电商物流平台,工程款回款
2025-08-28,2740000,inflow,武汉市线上订单结算,货款回款
2025-08-30,2450000,inflow,武汉市货主集团结算,工程款回款
2025-08-31,3790000,outflow,武汉市设备维保,设备采购付款
2025-09-02,12800,fee,工商登记费,手续费
2025-09-04,5600000,outflow,武汉市公路运输原料供应,设备采购付款
2025-09-06,2690000,outflow,武汉市物流运输有限公司,设备采购付款
2025-09-08,5200000,inflow,武汉市快递总部结算,结算款
2025-09-11,9300000,inflow,武汉市零售客户结算,月末结款
2025-09-13,6000000,inflow,武汉市快递总部结算,月末结款
2025-09-22,4630000,inflow,武汉市快递总部结算,结算款
2025-09-23,5600000,inflow,武汉市快递总部结算,销售回款
2025-09-26,2790000,outflow,武汉市自来水公司,工资发放
2025-09-28,2910000,outflow,武汉市差旅报销,税费缴纳
2025-09-29,2990000,outflow,武汉市外协加工,运营费用
2025-10-01,3080000,outflow,武汉市设备维保,供应商货款
2025-10-03,11700,fee,武汉市社保中心,工本费
2025-10-05,3430000,outflow,武汉市物流运输有限公司,运营费用
2025-10-06,3140000,inflow,武汉市电商物流平台,货款回款
2025-10-07,2180000,outflow,武汉市公路运输原料供应,出口押汇偿还
2025-10-08,3140000,inflow,武汉市快递总部结算,项目回款
2025-10-14,2310000,inflow,武汉市快递总部结算,工程款回款
2025-10-17,4090000,outflow,武汉市差旅报销,运营费用
2025-10-21,3580000,inflow,武汉市货主集团结算,订单回款
2025-10-23,4100000,inflow,武汉市快递总部结算,工程款回款
2025-10-25,1950000,inflow,武汉市线上订单结算,工程款回款
2025-10-26,3350000,outflow,武汉市外协加工,设备采购付款
2025-10-29,2840000,inflow,武汉市电商物流平台,订单回款
2025-11-01,5400,fee,工商登记费,税费
2025-11-03,3670000,inflow,武汉市货主集团结算,订单回款
2025-11-04,4590000,outflow,武汉市设备维保,供应商货款
2025-11-06,3820000,outflow,武汉市自来水公司,物流运费
2025-11-08,4710000,outflow,武汉市外协加工,房租水电
2025-11-11,3290000,inflow,武汉市电商物流平台,订单回款
2025-11-12,4510000,inflow,武汉市快递总部结算,货款回款
2025-11-13,2900000,outflow,武汉市公路运输原料供应,供应商货款
2025-11-14,4480000,inflow,武汉市电商物流平台,结算款
2025-11-18,1400,fee,武汉市税务局,工本费
2025-11-20,1870000,outflow,武汉市外协加工,外协加工
2025-11-22,2880000,inflow,武汉市电商物流平台,订单回款
2025-11-28,4540000,outflow,武汉市公路运输原料供应,外协加工
2025-11-30,10800000,inflow,武汉市线上订单结算,合同结款
2025-12-03,4310000,inflow,武汉市电商物流平台,合同结款
2025-12-08,3000000,outflow,武汉市自来水公司,房租水电
2025-12-10,2790000,outflow,武汉市物流运输有限公司,设备采购付款
2025-12-13,2020000,outflow,武汉市外协加工,税费缴纳
2025-12-14,3060000,outflow,武汉市自来水公司,外协加工
2025-12-16,4340000,outflow,武汉市外协加工,税费缴纳
2025-12-19,4100000,inflow,武汉市电商物流平台,合同结款
2025-12-20,4260000,inflow,武汉市货主集团结算,工程款回款
2025-12-23,2670000,inflow,武汉市货主集团结算,订单回款
2025-12-24,3810000,outflow,武汉市包装制品,设备采购付款
2025-12-25,3920000,inflow,武汉市快递总部结算,结算款
2025-12-26,3400000,outflow,武汉市公路运输原料供应,供应商货款
2025-12-27,3060000,inflow,武汉市电商物流平台,合同结款
2025-12-28,6200000,inflow,武汉市小额客户回款,项目回款
2026-01-04,1650000,inflow,武汉市电商物流平台,工程款回款
2026-01-07,1230000,inflow,武汉市电商物流平台,货款回款
2026-01-08,1340000,outflow,武汉市包装制品,外协加工
2026-01-10,4840000,inflow,武汉市快递总部结算,工程款回款
2026-01-12,1390000,inflow,武汉市快递总部结算,合同结款
2026-01-13,2520000,outflow,武汉市公路运输原料供应,工资发放
2026-01-18,1270000,inflow,武汉市快递总部结算,货款回款
2026-01-19,6200,fee,武汉市电力公司,税费
2026-01-23,3010000,outflow,武汉市包装制品,原料采购付款
2026-01-24,1490000,inflow,武汉市快递总部结算,结算款
2026-01-25,1850000,outflow,武汉市设备维保,运营费用
2026-01-27,1280000,outflow,武汉市外协加工,物流运费
2026-01-30,1740000,inflow,武汉市快递总部结算,订单回款
2026-01-31,1070000,outflow,武汉市差旅报销,设备采购付款
2026-02-02,2020000,inflow,武汉市零售客户结算,销售回款
2026-02-03,1670000,inflow,武汉市电商物流平台,项目回款
2026-02-04,1450000,inflow,武汉市快递总部结算,月末结款
2026-02-05,2040000,inflow,武汉市零售客户结算,货款回款
2026-02-10,2990000,outflow,武汉市物流运输有限公司,供应商货款
2026-02-12,1360000,inflow,武汉市快递总部结算,订单回款
2026-02-16,2140000,outflow,武汉市自来水公司,设备采购付款
2026-02-17,3490000,outflow,武汉市设备维保,运营费用
2026-02-18,1520000,inflow,武汉市快递总部结算,月末结款
2026-02-19,1850000,inflow,武汉市电商物流平台,销售回款
2026-02-22,3450000,outflow,武汉市自来水公司,外协加工
2026-02-23,1660000,inflow,武汉市电商物流平台,结算款
2026-02-28,1290000,inflow,武汉市电商物流平台,工程款回款
2026-03-07,7000000,outflow,武汉市差旅报销,工资发放
2026-03-08,5200000,inflow,武汉市货主集团结算,月末结款
2026-03-09,5500000,inflow,武汉市货主集团结算,合同结款
2026-03-13,5800000,outflow,武汉市差旅报销,房租水电
2026-03-17,3720000,outflow,武汉市外协加工,运营费用
2026-03-19,3760000,inflow,武汉市快递总部结算,项目回款
2026-03-23,6600000,outflow,武汉市自来水公司,原料采购付款
2026-03-25,3570000,inflow,武汉市电商物流平台,销售回款
2026-03-31,3690000,inflow,武汉市电商物流平台,合同结款
2026-04-02,2890000,outflow,武汉市包装制品,工资发放
2026-04-03,3920000,outflow,武汉市公路运输原料供应,运营费用
2026-04-04,2170000,inflow,武汉市零售客户结算,项目回款
2026-04-08,2800000,outflow,武汉市设备维保,设备采购付款
2026-04-13,3920000,inflow,武汉市快递总部结算,项目回款
2026-04-15,3360000,outflow,武汉市包装制品,出口押汇偿还
2026-04-17,2240000,inflow,武汉市快递总部结算,销售回款
2026-04-20,3520000,inflow,武汉市电商物流平台,月末结款
2026-04-22,4380000,inflow,武汉市电商物流平台,月末结款
2026-04-27,2350000,outflow,武汉市设备维保,出口押汇偿还
2026-04-28,2660000,outflow,武汉市包装制品,税费缴纳
2026-04-29,2770000,inflow,武汉市快递总部结算,月末结款
