date,amount,type,counterparty,note
2024-05-10,305000,inflow,海外客户信用证结算,项目回款
2024-05-13,405000,inflow,海外客户PayPal结算,工程款回款
2024-05-16,318000,inflow,常州市小额客户回款,销售回款
2024-05-18,760000,outflow,常州市设备维保,设备采购付款
2024-05-22,317000,outflow,常州市工商银行,外协加工
2024-05-31,233000,inflow,常州市跨境收款平台,工程款回款
2024-06-01,278000,inflow,海外客户信用证结算,结算款
2024-06-04,207000,inflow,海外客户信用证结算,货款回款
2024-06-07,425000,outflow,常州市设备维保,原料采购付款
2024-06-11,126000,inflow,海外客户信用证结算,货款回款
2024-06-13,386000,outflow,常州市物流运输有限公司,原料采购付款
2024-06-20,213000,inflow,常州市跨境收款平台,结算款
2024-06-24,181000,inflow,常州市跨境收款平台,项目回款
2024-06-30,202000,inflow,常州市跨境收款平台,合同结款
2024-07-01,197000,outflow,常州市电力公司,物流运费
2024-07-12,141000,inflow,常州市零售客户结算,货款回款
2024-07-14,228000,outflow,常州市工商银行,原料采购付款
2024-07-16,349000,inflow,常州市跨境收款平台,结算款
2024-07-17,144000,outflow,常州市电力公司,供应商货款
2024-07-23,308000,inflow,海外客户信用证结算,销售回款
2024-07-26,169000,outflow,常州市跨境电商原料供应,运营费用
2024-07-30,203000,outflow,常州市设备维保,出口押汇偿还
2024-08-02,128000,inflow,常州市零售客户结算,货款回款
2024-08-05,196000,inflow,常州市跨境收款平台,结算款
2024-08-11,224000,inflow,海外客户信用证结算,月末结款
2024-08-12,174000,outflow,常州市外协加工,物流运费
2024-08-16,89000,outflow,常州市物流运输有限公司,房租水电
2024-08-17,229000,inflow,海外客户信用证结算,项目回款
2024-08-18,8000,fee,常州市物业服务,公共事业
2024-08-22,192000,outflow,常州市电力公司,供应商货款
2024-08-24,222000,outflow,常州市电力公司,设备采购付款
2024-08-25,192000,inflow,海外客户信用证结算,合同结款
2024-08-27,183000,outflow,常州市物流运输有限公司,出口押汇偿还
2024-08-30,169000,inflow,海外客户信用证结算,月末结款
2024-09-07,660000,outflow,常州市跨境电商原料供应,原料采购付款
2024-09-11,190000,inflow,常州市跨境收款平台,货款回款
2024-09-12,199000,inflow,海外客户信用证结算,货款回款
2024-09-19,210000,inflow,海外客户信用证结算,工程款回款
2024-09-22,670000,outflow,常州市跨境电商原料供应,供应商货款
2024-09-23,304000,inflow,海外客户PayPal结算,合同结款
2024-09-24,274000,inflow,海外客户PayPal结算,货款回款
2024-10-02,114000,outflow,常州市设备维保,外协加工
2024-10-04,194000,outflow,常州市包装制品,物流运费
2024-10-06,243000,outflow,常州市电力公司,原料采购付款
2024-10-11,168000,outflow,常州市设备维保,设备采购付款
2024-10-13,304000,inflow,常州市跨境收款平台,工程款回款
2024-10-16,179000,outflow,常州市跨境电商原料供应,工资发放
2024-10-19,266000,inflow,海外客户信用证结算,工程款回款
2024-10-20,212000,inflow,常州市小额客户回款,工程款回款
2024-10-21,261000,inflow,海外客户信用证结算,工程款回款
2024-11-01,223000,outflow,常州市设备维保,税费缴纳
2024-11-02,172000,inflow,常州市线上订单结算,合同结款
2024-11-10,270000,outflow,常州市物流运输有限公司,外协加工
2024-11-11,383000,outflow,常州市电力公司,设备采购付款
2024-11-12,485000,inflow,常州市跨境收款平台,货款回款
2024-11-16,229000,outflow,常州市电力公司,房租水电
2024-11-22,650000,inflow,海外客户PayPal结算,工程款回款
2024-11-28,11100,fee,常州市自来水公司,手续费
2024-12-01,200000,inflow,海外客户PayPal结算,工程款回款
2024-12-06,179000,outflow,常州市电力公司,出口押汇偿还
2024-12-13,285000,inflow,海外客户信用证结算,工程款回款
2024-12-15,184000,inflow,常州市线上订单结算,项目回款
2024-12-16,219000,outflow,常州市外协加工,原料采购付款
2024-12-18,136000,outflow,常州市设备维保,运营费用
2024-12-20,292000,inflow,海外客户信用证结算,项目回款
2024-12-28,228000,inflow,海外客户信用证结算,合同结款
2024-12-31,190000,outflow,常州市包装制品,房租水电
2025-01-02,167000,outflow,常州市设备维保,出口押汇偿还
2025-01-13,177000,outflow,常州市物流运输有限公司,供应商货款
2025-01-16,93000,inflow,常州市零售客户结算,工程款回款
2025-01-19,171000,inflow,海外客户PayPal结算,结算款
2025-01-20,144000,inflow,海外客户信用证结算,项目回款
2025-01-22,121000,inflow,常州市小额客户回款,项目回款
2025-01-26,125000,inflow,常州市跨境收款平台,结算款
2025-01-27,185000,inflow,海外客户PayPal结算,货款回款
2025-02-03,76000,inflow,海外客户信用证结算,销售回款
2025-02-05,109000,inflow,海外客户信用证结算,月末结款
2025-02-07,132000,inflow,海外客户PayPal结算,工程款回款
