date,amount,type,counterparty,note
2024-05-02,16400000,outflow,佛山市汽车零部件原料供应,税费缴纳
2024-05-03,4400,fee,佛山市物业服务,公共事业
2024-05-04,12500000,outflow,佛山市物流运输有限公司,出口押汇偿还
2024-05-05,7700000,inflow,佛山市汽车集团,销售回款
2024-05-06,16200000,outflow,佛山市广告设计,房租水电
2024-05-07,8200000,inflow,佛山市汽车集团,工程款回款
2024-05-09,14300000,inflow,佛山市汽车集团,结算款
2024-05-10,22400000,inflow,佛山市零售客户结算,货款回款
2024-05-11,11200000,inflow,佛山市整车厂采购部,项目回款
2024-05-14,8900000,inflow,佛山市汽车集团,销售回款
2024-05-19,15300000,outflow,佛山市汽车零部件原料供应,运营费用
2024-05-21,8000000,inflow,佛山市汽车集团,结算款
2024-05-23,8000000,inflow,佛山市汽车集团,项目回款
2024-05-24,13400,fee,工商登记费,公共事业
2024-05-25,7400000,inflow,佛山市新能源汽车客户,月末结款
2024-05-26,19900000,outflow,佛山市广告设计,税费缴纳
2024-05-30,6500000,inflow,佛山市汽车集团,合同结款
2024-05-31,7900000,inflow,佛山市新能源汽车客户,订单回款
2024-06-01,9200000,inflow,佛山市汽车集团,货款回款
2024-06-03,8400000,inflow,佛山市新能源汽车客户,订单回款
2024-06-07,26100000,outflow,佛山市物流运输有限公司,外协加工
2024-06-08,12200000,outflow,佛山市外协加工,房租水电
2024-06-09,12000000,inflow,佛山市线上订单结算,订单回款
2024-06-13,9600000,inflow,佛山市整车厂采购部,合同结款
2024-06-14,8200000,inflow,佛山市汽车集团,结算款
2024-06-15,10400000,outflow,佛山市差旅报销,房租水电
2024-06-17,10000000,inflow,佛山市汽车集团,月末结款
2024-06-18,9600000,outflow,佛山市设备维保,房租水电
2024-06-20,9300000,inflow,佛山市整车厂采购部,月末结款
2024-06-21,8700000,inflow,佛山市汽车集团,货款回款
2024-06-22,12200000,inflow,佛山市新能源汽车客户,结算款
2024-06-23,12500000,inflow,佛山市新能源汽车客户,工程款回款
2024-06-27,7700000,inflow,佛山市新能源汽车客户,销售回款
2024-06-28,7100000,inflow,佛山市整车厂采购部,订单回款
2024-06-29,23800000,outflow,佛山市设备维保,出口押汇偿还
2024-07-02,9600000,outflow,佛山市汽车零部件原料供应,设备采购付款
2024-07-03,13400000,inflow,佛山市新能源汽车客户,项目回款
2024-07-04,14400000,inflow,佛山市汽车集团,工程款回款
2024-07-05,7200000,outflow,佛山市包装制品,房租水电
2024-07-06,12400000,inflow,佛山市整车厂采购部,结算款
2024-07-07,12300000,outflow,佛山市差旅报销,税费缴纳
2024-07-08,10200000,inflow,佛山市整车厂采购部,月末结款
2024-07-15,6000000,inflow,佛山市新能源汽车客户,项目回款
2024-07-16,12700000,inflow,佛山市汽车集团,项目回款
2024-07-19,11900000,outflow,佛山市设备维保,物流运费
2024-07-20,4500,fee,佛山市电力公司,税费
2024-07-24,14600000,outflow,佛山市物流运输有限公司,供应商货款
2024-07-25,7200000,outflow,佛山市外协加工,房租水电
2024-07-26,16900000,inflow,佛山市新能源汽车客户,月末结款
2024-07-27,17200000,inflow,佛山市新能源汽车客户,结算款
2024-07-30,13300000,outflow,佛山市广告设计,外协加工
2024-08-03,8400000,inflow,佛山市零售客户结算,合同结款
2024-08-04,19500000,outflow,佛山市物流运输有限公司,工资发放
2024-08-05,13300000,inflow,佛山市汽车集团,项目回款
2024-08-06,1700,fee,工商登记费,税费
2024-08-07,15400000,inflow,佛山市汽车集团,合同结款
2024-08-10,16800000,outflow,佛山市物流运输有限公司,运营费用
2024-08-15,14700000,inflow,佛山市整车厂采购部,货款回款
2024-08-17,7800000,outflow,佛山市广告设计,工资发放
2024-08-18,8500000,inflow,佛山市新能源汽车客户,工程款回款
2024-08-19,16500000,outflow,佛山市外协加工,原料采购付款
2024-08-21,11700000,inflow,佛山市整车厂采购部,工程款回款
2024-08-23,18800000,outflow,佛山市物流运输有限公司,供应商货款
2024-08-24,14800000,inflow,佛山市整车厂采购部,订单回款
2024-08-26,9100000,outflow,佛山市差旅报销,外协加工
2024-08-31,9200000,inflow,佛山市汽车集团,结算款
2024-09-01,9200000,outflow,佛山市设备维保,物流运费
2024-09-02,14300000,inflow,佛山市整车厂采购部,货款回款
2024-09-05,6900000,outflow,佛山市汽车零部件原料供应,出口押汇偿还
2024-09-06,6600000,outflow,佛山市物流运输有限公司,工资发放
2024-09-07,5300000,outflow,佛山市汽车零部件原料供应,工资发放
2024-09-09,20800000,inflow,佛山市小额客户回款,结算款
2024-09-10,11700000,inflow,佛山市整车厂采购部,销售回款
2024-09-11,13700000,inflow,佛山市整车厂采购部,结算款
2024-09-14,13700000,outflow,佛山市物流运输有限公司,税费缴纳
2024-09-16,15200000,inflow,佛山市新能源汽车客户,销售回款
2024-09-17,17800000,inflow,佛山市整车厂采购部,订单回款
2024-09-20,6700000,outflow,佛山市外协加工,出口押汇偿还
2024-09-26,8100000,outflow,佛山市广告设计,税费缴纳
2024-09-27,13700000,outflow,佛山市外协加工,房租水电
2024-09-29,18200000,inflow,佛山市新能源汽车客户,销售回款
2024-09-30,12100000,outflow,佛山市汽车零部件原料供应,出口押汇偿还
2024-10-02,13000000,outflow,佛山市外协加工,物流运费
2024-10-03,18100000,inflow,佛山市零售客户结算,货款回款
2024-10-06,12100000,inflow,佛山市新能源汽车客户,货款回款
2024-10-08,13100000,outflow,佛山市广告设计,设备采购付款
2024-10-09,13400000,inflow,佛山市新能源汽车客户,销售回款
2024-10-12,12800000,outflow,佛山市差旅报销,供应商货款
2024-10-13,8000000,inflow,佛山市汽车集团,结算款
2024-10-14,14800000,outflow,佛山市物流运输有限公司,外协加工
2024-10-16,14500000,outflow,佛山市广告设计,供应商货款
2024-10-18,14000000,outflow,佛山市汽车零部件原料供应,设备采购付款
2024-10-19,8900000,inflow,佛山市汽车集团,月末结款
2024-10-26,10700000,inflow,佛山市汽车集团,结算款
2024-10-28,6000,fee,佛山市税务局,工本费
2024-10-29,8200000,outflow,佛山市差旅报销,房租水电
2024-10-30,7800000,inflow,佛山市汽车集团,销售回款
2024-10-31,9200000,inflow,佛山市整车厂采购部,合同结款
2024-11-01,17400000,inflow,佛山市汽车集团,项目回款
2024-11-02,13400000,outflow,佛山市物流运输有限公司,出口押汇偿还
2024-11-04,13600000,outflow,佛山市差旅报销,出口押汇偿还
2024-11-05,17600000,outflow,佛山市外协加工,房租水电
2024-11-08,17400000,outflow,佛山市外协加工,运营费用
2024-11-09,20000000,inflow,佛山市汽车集团,结算款
2024-11-12,13500000,inflow,佛山市汽车集团,结算款
2024-11-13,21800000,inflow,佛山市整车厂采购部,月末结款
2024-11-16,17200000,inflow,佛山市汽车集团,工程款回款
2024-11-17,18300000,inflow,佛山市汽车集团,订单回款
2024-11-18,19200000,outflow,佛山市外协加工,房租水电
2024-11-20,19700000,outflow,佛山市物流运输有限公司,运营费用
2024-11-24,20300000,outflow,佛山市包装制品,运营费用
2024-11-25,15000,fee,佛山市物业服务,公共事业
2024-11-29,11300000,outflow,佛山市物流运输有限公司,运营费用
2024-11-30,64100000,inflow,佛山市汽车集团,销售回款
2024-12-04,21100000,inflow,佛山市汽车集团,结算款
2024-12-05,14800,fee,佛山市自来水公司,税费
2024-12-06,20500000,inflow,佛山市整车厂采购部,项目回款
2024-12-11,21400000,inflow,佛山市汽车集团,合同结款
2024-12-12,19300000,inflow,佛山市汽车集团,工程款回款
2024-12-13,21900000,outflow,佛山市包装制品,外协加工
2024-12-17,22300000,inflow,佛山市整车厂采购部,货款回款
2024-12-19,14000000,outflow,佛山市汽车零部件原料供应,物流运费
2024-12-20,11600000,outflow,佛山市包装制品,房租水电
2024-12-21,13600000,outflow,佛山市物流运输有限公司,外协加工
2024-12-22,14500000,inflow,佛山市线上订单结算,货款回款
2024-12-23,14200000,inflow,佛山市整车厂采购部,货款回款
2024-12-25,18000000,outflow,佛山市差旅报销,设备采购付款
2024-12-26,23400000,inflow,佛山市汽车集团,销售回款
