date,amount,type,counterparty,note
2024-05-01,2560000,inflow,南京市物联网品牌客户,合同结款
2024-05-02,4070000,inflow,南京市政企项目回款,月末结款
2024-05-03,5200000,outflow,南京市自来水公司,物流运费
2024-05-09,3300,fee,南京市物业服务,公共事业
2024-05-10,4610000,outflow,南京市物联网原料供应,物流运费
2024-05-11,1290000,inflow,南京市政企项目回款,订单回款
2024-05-13,3390000,inflow,南京市物联网品牌客户,结算款
2024-05-19,4450000,outflow,南京市物流运输有限公司,设备采购付款
2024-05-21,2100000,outflow,南京市广告设计,房租水电
2024-05-23,1910000,inflow,南京市集成商采购,合同结款
2024-05-24,3470000,inflow,南京市物联网品牌客户,月末结款
2024-05-25,4030000,inflow,南京市政企项目回款,工程款回款
2024-05-28,3110000,outflow,南京市外协加工,税费缴纳
2024-06-01,3300,fee,南京市物业服务,手续费
2024-06-02,3480000,outflow,南京市外协加工,外协加工
2024-06-04,3790000,inflow,南京市物联网品牌客户,工程款回款
2024-06-07,3390000,outflow,南京市广告设计,工资发放
2024-06-08,1580000,outflow,南京市物流运输有限公司,出口押汇偿还
2024-06-09,4080000,inflow,南京市物联网品牌客户,结算款
2024-06-10,3970000,inflow,南京市政企项目回款,订单回款
2024-06-12,3390000,outflow,南京市物流运输有限公司,出口押汇偿还
2024-06-15,2710000,outflow,南京市包装制品,税费缴纳
2024-06-27,1690000,outflow,南京市广告设计,运营费用
2024-06-29,3690000,inflow,南京市物联网品牌客户,订单回款
2024-06-30,3800000,inflow,南京市集成商采购,销售回款
2024-07-01,2420000,inflow,南京市政企项目回款,工程款回款
2024-07-07,2410000,inflow,南京市政企项目回款,订单回款
2024-07-08,2180000,inflow,南京市物联网品牌客户,货款回款
2024-07-09,2130000,inflow,南京市政企项目回款,销售回款
2024-07-11,5400000,outflow,南京市物流运输有限公司,物流运费
2024-07-12,3850000,inflow,南京市小额客户回款,订单回款
2024-07-15,3130000,outflow,南京市广告设计,设备采购付款
2024-07-18,3570000,outflow,南京市广告设计,运营费用
2024-07-22,3440000,outflow,南京市包装制品,出口押汇偿还
2024-07-23,2520000,inflow,南京市物联网品牌客户,订单回款
2024-07-30,2000000,inflow,南京市物联网品牌客户,工程款回款
2024-08-01,3000000,outflow,南京市物流运输有限公司,工资发放
2024-08-05,3590000,outflow,南京市物联网原料供应,原料采购付款
2024-08-06,2410000,outflow,南京市物流运输有限公司,房租水电
2024-08-07,6400000,inflow,南京市物联网品牌客户,项目回款
2024-08-15,2250000,outflow,南京市外协加工,税费缴纳
2024-08-18,2370000,inflow,南京市零售客户结算,订单回款
2024-08-19,3010000,outflow,南京市物流运输有限公司,房租水电
2024-08-23,1940000,outflow,南京市设备维保,运营费用
2024-08-26,1050000,inflow,南京市集成商采购,月末结款
2024-08-27,3330000,outflow,南京市外协加工,工资发放
2024-08-29,4650000,inflow,南京市政企项目回款,月末结款
2024-08-30,8100,fee,南京市社保中心,公共事业
2024-08-31,6000000,inflow,南京市集成商采购,订单回款
2024-09-01,3540000,outflow,南京市物流运输有限公司,原料采购付款
2024-09-06,2910000,inflow,南京市集成商采购,销售回款
2024-09-07,3760000,outflow,南京市广告设计,工资发放
2024-09-09,2610000,outflow,南京市广告设计,出口押汇偿还
2024-09-10,2270000,inflow,南京市集成商采购,订单回款
2024-09-13,4480000,inflow,南京市政企项目回款,结算款
2024-09-14,2200,fee,南京市物业服务,手续费
2024-09-15,2450000,inflow,南京市政企项目回款,月末结款
2024-09-17,2180000,inflow,南京市物联网品牌客户,项目回款
2024-09-19,2720000,outflow,南京市广告设计,供应商货款
2024-09-21,4370000,inflow,南京市物联网品牌客户,项目回款
2024-09-24,2660000,outflow,南京市设备维保,工资发放
2024-09-28,3530000,outflow,南京市包装制品,房租水电
2024-09-30,4430000,inflow,南京市物联网品牌客户,结算款
2024-10-06,2400000,inflow,南京市物联网品牌客户,合同结款
2024-10-07,4500000,outflow,南京市自来水公司,税费缴纳
2024-10-11,4380000,outflow,南京市外协加工,设备采购付款
2024-10-12,4220000,inflow,南京市政企项目回款,销售回款
2024-10-18,3580000,inflow,南京市集成商采购,工程款回款
2024-10-19,3050000,outflow,南京市广告设计,原料采购付款
