date,amount,type,counterparty,note
2024-05-05,18200000,inflow,武汉市汽车集团,货款回款
2024-05-07,14800000,inflow,武汉市新能源汽车客户,月末结款
2024-05-08,2900,fee,武汉市电力公司,税费
2024-05-10,19200000,inflow,武汉市汽车集团,月末结款
2024-05-11,13600000,outflow,武汉市包装制品,物流运费
2024-05-15,26500000,inflow,武汉市汽车集团,项目回款
2024-05-17,21400000,outflow,武汉市物流运输有限公司,税费缴纳
2024-05-18,24500000,inflow,武汉市小额客户回款,结算款
2024-05-20,23100000,outflow,武汉市外协加工,出口押汇偿还
2024-05-21,22900000,outflow,武汉市物流运输有限公司,物流运费
2024-05-23,20800000,inflow,武汉市整车厂采购部,月末结款
2024-05-25,8800000,inflow,武汉市汽车集团,工程款回款
2024-05-28,24500000,outflow,武汉市电力公司,税费缴纳
2024-05-29,25100000,outflow,汽车零部件协会会费,设备采购付款
2024-05-30,12100000,outflow,武汉市物流运输有限公司,设备采购付款
2024-05-31,8200,fee,工商登记费,手续费
2024-06-01,17600000,outflow,武汉市外协加工,税费缴纳
2024-06-02,15900000,inflow,武汉市汽车集团,订单回款
2024-06-06,14500000,inflow,武汉市汽车集团,货款回款
2024-06-08,13500000,inflow,武汉市整车厂采购部,销售回款
2024-06-09,32000000,outflow,汽车零部件协会会费,供应商货款
2024-06-12,1300,fee,武汉市电力公司,公共事业
2024-06-13,11400000,inflow,武汉市汽车集团,项目回款
2024-06-14,13900000,inflow,武汉市整车厂采购部,结算款
2024-06-15,11600000,inflow,武汉市整车厂采购部,工程款回款
2024-06-17,13700000,inflow,武汉市汽车集团,工程款回款
2024-06-19,24300000,outflow,武汉市物流运输有限公司,出口押汇偿还
2024-06-20,17300000,outflow,武汉市包装制品,运营费用
2024-06-21,16000000,inflow,武汉市汽车集团,工程款回款
2024-06-22,30600000,outflow,武汉市汽车零部件原料供应,税费缴纳
2024-06-23,15000000,inflow,武汉市零售客户结算,工程款回款
