date,amount,type,counterparty,note
2024-05-01,2730000,outflow,石家庄市外协加工,物流运费
2024-05-05,2780000,inflow,石家庄市连锁分销回款,销售回款
2024-05-07,2070000,inflow,石家庄市连锁分销回款,结算款
2024-05-08,2170000,inflow,石家庄市工程项目客户,货款回款
2024-05-09,1750000,outflow,石家庄市燃气服务,运营费用
2024-05-10,1590000,outflow,石家庄市包装制品,工资发放
2024-05-11,2090000,outflow,石家庄市包装制品,外协加工
2024-05-12,2140000,inflow,石家庄市连锁分销回款,项目回款
2024-05-14,1930000,inflow,石家庄市B端采购客户,月末结款
2024-05-16,2380000,inflow,石家庄市工程项目客户,月末结款
2024-05-21,2760000,outflow,专业零售协会会费,外协加工
2024-05-24,1620000,outflow,石家庄市物流运输有限公司,原料采购付款
2024-05-25,3200000,outflow,专业零售协会会费,运营费用
2024-05-26,2580000,inflow,石家庄市零售客户结算,货款回款
2024-05-27,2010000,inflow,石家庄市工程项目客户,结算款
2024-05-30,2880000,inflow,石家庄市连锁分销回款,结算款
2024-06-02,3190000,outflow,专业零售协会会费,设备采购付款
2024-06-14,4660000,inflow,石家庄市工程项目客户,月末结款
2024-06-15,4000000,inflow,石家庄市B端采购客户,项目回款
2024-06-20,5900000,inflow,石家庄市B端采购客户,结算款
2024-06-21,7400000,inflow,石家庄市零售客户结算,合同结款
2024-06-23,5500000,inflow,石家庄市B端采购客户,货款回款
2024-06-24,2770000,outflow,石家庄市燃气服务,运营费用
2024-06-25,3120000,outflow,石家庄市设备维保,外协加工
2024-06-26,3990000,outflow,石家庄市外协加工,出口押汇偿还
2024-07-01,1800000,inflow,石家庄市工程项目客户,货款回款
2024-07-03,2220000,outflow,石家庄市物流运输有限公司,工资发放
2024-07-04,2490000,inflow,石家庄市工程项目客户,项目回款
2024-07-06,2490000,outflow,石家庄市设备维保,出口押汇偿还
2024-07-07,13200,fee,石家庄市自来水公司,公共事业
2024-07-08,2980000,inflow,石家庄市连锁分销回款,货款回款
2024-07-10,2220000,inflow,石家庄市工程项目客户,项目回款
2024-07-14,2160000,inflow,石家庄市B端采购客户,销售回款
2024-07-16,1280000,outflow,石家庄市设备维保,原料采购付款
2024-07-18,2510000,outflow,专业零售协会会费,工资发放
2024-07-19,1960000,inflow,石家庄市连锁分销回款,订单回款
2024-07-20,2200000,inflow,石家庄市连锁分销回款,项目回款
2024-07-21,1860000,inflow,石家庄市B端采购客户,合同结款
2024-07-23,2350000,outflow,石家庄市设备维保,出口押汇偿还
2024-07-25,2050000,inflow,石家庄市B端采购客户,销售回款
2024-07-27,1620000,outflow,石家庄市燃气服务,出口押汇偿还
2024-07-31,1960000,outflow,石家庄市物流运输有限公司,供应商货款
2024-08-01,2730000,inflow,石家庄市B端采购客户,订单回款
2024-08-05,2490000,inflow,石家庄市连锁分销回款,工程款回款
2024-08-08,3210000,outflow,石家庄市物流运输有限公司,物流运费
2024-08-11,2840000,inflow,石家庄市工程项目客户,月末结款
2024-08-12,2680000,outflow,石家庄市燃气服务,房租水电
2024-08-17,2950000,inflow,石家庄市连锁分销回款,合同结款
2024-08-20,1850000,outflow,石家庄市燃气服务,税费缴纳
2024-08-22,2710000,outflow,石家庄市燃气服务,税费缴纳
2024-08-25,3290000,outflow,石家庄市包装制品,工资发放
2024-08-27,4250000,inflow,石家庄市工程项目客户,销售回款
2024-08-29,3560000,outflow,石家庄市专业零售原料供应,工资发放
2024-08-31,3760000,inflow,石家庄市零售客户结算,订单回款
